# Kelly25 Training Dataset
# Format: id|normalized_text|raw_text
kelly25_0001|HELLO! I'M KELLY, YOUR FRIENDLY LEARNING COMPANION.|Hello! I'm Kelly, your friendly learning companion.
kelly25_0036|LEARNING IS A JOURNEY, AND I'M HERE TO GUIDE YOU. YOU'RE DOING AN AMAZING JOB!|Learning is a journey, and I'm here to guide you. You're doing an amazing job!
kelly25_0037|EVERY QUESTION YOU ASK BRINGS US CLOSER TO UNDERSTANDING.|Every question you ask brings us closer to understanding.
kelly25_0038|EVERY QUESTION YOU ASK BRINGS US CLOSER TO UNDERSTANDING. I'M REALLY EXCITED ABOUT THIS!|Every question you ask brings us closer to understanding. I'm really excited about this!
kelly25_0039|EVERY QUESTION YOU ASK BRINGS US CLOSER TO UNDERSTANDING. TAKE YOUR TIME WITH THIS.|Every question you ask brings us closer to understanding. Take your time with this.
kelly25_0040|EVERY QUESTION YOU ASK BRINGS US CLOSER TO UNDERSTANDING. THIS IS GOING TO BE SO MUCH FUN!|Every question you ask brings us closer to understanding. This is going to be so much fun!
kelly25_0041|EVERY QUESTION YOU ASK BRINGS US CLOSER TO UNDERSTANDING. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|Every question you ask brings us closer to understanding. I'm here to help you every step of the way.
kelly25_0042|EVERY QUESTION YOU ASK BRINGS US CLOSER TO UNDERSTANDING. YOU'RE DOING AN AMAZING JOB!|Every question you ask brings us closer to understanding. You're doing an amazing job!
kelly25_0043|I BELIEVE IN YOUR POTENTIAL TO LEARN AND GROW.|I believe in your potential to learn and grow.
kelly25_0044|I BELIEVE IN YOUR POTENTIAL TO LEARN AND GROW. I'M REALLY EXCITED ABOUT THIS!|I believe in your potential to learn and grow. I'm really excited about this!
kelly25_0045|I BELIEVE IN YOUR POTENTIAL TO LEARN AND GROW. TAKE YOUR TIME WITH THIS.|I believe in your potential to learn and grow. Take your time with this.
kelly25_0046|I BELIEVE IN YOUR POTENTIAL TO LEARN AND GROW. THIS IS GOING TO BE SO MUCH FUN!|I believe in your potential to learn and grow. This is going to be so much fun!
kelly25_0047|I BELIEVE IN YOUR POTENTIAL TO LEARN AND GROW. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|I believe in your potential to learn and grow. I'm here to help you every step of the way.
kelly25_0048|I BELIEVE IN YOUR POTENTIAL TO LEARN AND GROW. YOU'RE DOING AN AMAZING JOB!|I believe in your potential to learn and grow. You're doing an amazing job!
kelly25_0049|YOU'RE DOING GREAT! KEEP UP THE EXCELLENT WORK.|You're doing great! Keep up the excellent work.
kelly25_0050|YOU'RE DOING GREAT! KEEP UP THE EXCELLENT WORK. I'M REALLY EXCITED ABOUT THIS!|You're doing great! Keep up the excellent work. I'm really excited about this!
kelly25_0051|YOU'RE DOING GREAT! KEEP UP THE EXCELLENT WORK. TAKE YOUR TIME WITH THIS.|You're doing great! Keep up the excellent work. Take your time with this.
kelly25_0052|YOU'RE DOING GREAT! KEEP UP THE EXCELLENT WORK. THIS IS GOING TO BE SO MUCH FUN!|You're doing great! Keep up the excellent work. This is going to be so much fun!
kelly25_0053|YOU'RE DOING GREAT! KEEP UP THE EXCELLENT WORK. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|You're doing great! Keep up the excellent work. I'm here to help you every step of the way.
kelly25_0054|YOU'RE DOING GREAT! KEEP UP THE EXCELLENT WORK. YOU'RE DOING AN AMAZING JOB!|You're doing great! Keep up the excellent work. You're doing an amazing job!
kelly25_0055|DON'T WORRY IF SOMETHING SEEMS DIFFICULT AT FIRST.|Don't worry if something seems difficult at first.
kelly25_0056|DON'T WORRY IF SOMETHING SEEMS DIFFICULT AT FIRST. I'M REALLY EXCITED ABOUT THIS!|Don't worry if something seems difficult at first. I'm really excited about this!
kelly25_0057|DON'T WORRY IF SOMETHING SEEMS DIFFICULT AT FIRST. TAKE YOUR TIME WITH THIS.|Don't worry if something seems difficult at first. Take your time with this.
kelly25_0058|DON'T WORRY IF SOMETHING SEEMS DIFFICULT AT FIRST. THIS IS GOING TO BE SO MUCH FUN!|Don't worry if something seems difficult at first. This is going to be so much fun!
kelly25_0059|DON'T WORRY IF SOMETHING SEEMS DIFFICULT AT FIRST. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|Don't worry if something seems difficult at first. I'm here to help you every step of the way.
kelly25_0060|DON'T WORRY IF SOMETHING SEEMS DIFFICULT AT FIRST. YOU'RE DOING AN AMAZING JOB!|Don't worry if something seems difficult at first. You're doing an amazing job!
kelly25_0061|EVERY EXPERT WAS ONCE A BEGINNER, JUST LIKE YOU.|Every expert was once a beginner, just like you.
kelly25_0062|EVERY EXPERT WAS ONCE A BEGINNER, JUST LIKE YOU. I'M REALLY EXCITED ABOUT THIS!|Every expert was once a beginner, just like you. I'm really excited about this!
kelly25_0063|EVERY EXPERT WAS ONCE A BEGINNER, JUST LIKE YOU. TAKE YOUR TIME WITH THIS.|Every expert was once a beginner, just like you. Take your time with this.
kelly25_0064|EVERY EXPERT WAS ONCE A BEGINNER, JUST LIKE YOU. THIS IS GOING TO BE SO MUCH FUN!|Every expert was once a beginner, just like you. This is going to be so much fun!
kelly25_0065|EVERY EXPERT WAS ONCE A BEGINNER, JUST LIKE YOU. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|Every expert was once a beginner, just like you. I'm here to help you every step of the way.
kelly25_0066|EVERY EXPERT WAS ONCE A BEGINNER, JUST LIKE YOU. YOU'RE DOING AN AMAZING JOB!|Every expert was once a beginner, just like you. You're doing an amazing job!
kelly25_0067|I'M PROUD OF YOUR PROGRESS AND DETERMINATION.|I'm proud of your progress and determination.
kelly25_0068|I'M PROUD OF YOUR PROGRESS AND DETERMINATION. I'M REALLY EXCITED ABOUT THIS!|I'm proud of your progress and determination. I'm really excited about this!
kelly25_0069|I'M PROUD OF YOUR PROGRESS AND DETERMINATION. TAKE YOUR TIME WITH THIS.|I'm proud of your progress and determination. Take your time with this.
kelly25_0070|I'M PROUD OF YOUR PROGRESS AND DETERMINATION. THIS IS GOING TO BE SO MUCH FUN!|I'm proud of your progress and determination. This is going to be so much fun!
kelly25_0071|I'M PROUD OF YOUR PROGRESS AND DETERMINATION. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|I'm proud of your progress and determination. I'm here to help you every step of the way.
kelly25_0072|I'M PROUD OF YOUR PROGRESS AND DETERMINATION. YOU'RE DOING AN AMAZING JOB!|I'm proud of your progress and determination. You're doing an amazing job!
kelly25_0073|WHAT WOULD YOU LIKE TO LEARN ABOUT TODAY?|What would you like to learn about today?
kelly25_0074|WHAT WOULD YOU LIKE TO LEARN ABOUT TODAY? I'M REALLY EXCITED ABOUT THIS!|What would you like to learn about today? I'm really excited about this!
kelly25_0075|WHAT WOULD YOU LIKE TO LEARN ABOUT TODAY? TAKE YOUR TIME WITH THIS.|What would you like to learn about today? Take your time with this.
kelly25_0076|WHAT WOULD YOU LIKE TO LEARN ABOUT TODAY? THIS IS GOING TO BE SO MUCH FUN!|What would you like to learn about today? This is going to be so much fun!
kelly25_0077|WHAT WOULD YOU LIKE TO LEARN ABOUT TODAY? I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|What would you like to learn about today? I'm here to help you every step of the way.
kelly25_0078|WHAT WOULD YOU LIKE TO LEARN ABOUT TODAY? YOU'RE DOING AN AMAZING JOB!|What would you like to learn about today? You're doing an amazing job!
kelly25_0079|HOW ARE YOU FEELING ABOUT THIS LESSON SO FAR?|How are you feeling about this lesson so far?
kelly25_0080|HOW ARE YOU FEELING ABOUT THIS LESSON SO FAR? I'M REALLY EXCITED ABOUT THIS!|How are you feeling about this lesson so far? I'm really excited about this!
kelly25_0081|HOW ARE YOU FEELING ABOUT THIS LESSON SO FAR? TAKE YOUR TIME WITH THIS.|How are you feeling about this lesson so far? Take your time with this.
kelly25_0082|HOW ARE YOU FEELING ABOUT THIS LESSON SO FAR? THIS IS GOING TO BE SO MUCH FUN!|How are you feeling about this lesson so far? This is going to be so much fun!
kelly25_0083|HOW ARE YOU FEELING ABOUT THIS LESSON SO FAR? I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|How are you feeling about this lesson so far? I'm here to help you every step of the way.
kelly25_0084|HOW ARE YOU FEELING ABOUT THIS LESSON SO FAR? YOU'RE DOING AN AMAZING JOB!|How are you feeling about this lesson so far? You're doing an amazing job!
kelly25_0085|DO YOU HAVE ANY QUESTIONS ABOUT WHAT WE'VE COVERED?|Do you have any questions about what we've covered?
kelly25_0086|DO YOU HAVE ANY QUESTIONS ABOUT WHAT WE'VE COVERED? I'M REALLY EXCITED ABOUT THIS!|Do you have any questions about what we've covered? I'm really excited about this!
kelly25_0087|DO YOU HAVE ANY QUESTIONS ABOUT WHAT WE'VE COVERED? TAKE YOUR TIME WITH THIS.|Do you have any questions about what we've covered? Take your time with this.
kelly25_0088|DO YOU HAVE ANY QUESTIONS ABOUT WHAT WE'VE COVERED? THIS IS GOING TO BE SO MUCH FUN!|Do you have any questions about what we've covered? This is going to be so much fun!
kelly25_0089|DO YOU HAVE ANY QUESTIONS ABOUT WHAT WE'VE COVERED? I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|Do you have any questions about what we've covered? I'm here to help you every step of the way.
kelly25_0090|DO YOU HAVE ANY QUESTIONS ABOUT WHAT WE'VE COVERED? YOU'RE DOING AN AMAZING JOB!|Do you have any questions about what we've covered? You're doing an amazing job!
kelly25_0091|WHAT INTERESTS YOU MOST ABOUT THIS TOPIC?|What interests you most about this topic?
kelly25_0092|WHAT INTERESTS YOU MOST ABOUT THIS TOPIC? I'M REALLY EXCITED ABOUT THIS!|What interests you most about this topic? I'm really excited about this!
kelly25_0093|WHAT INTERESTS YOU MOST ABOUT THIS TOPIC? TAKE YOUR TIME WITH THIS.|What interests you most about this topic? Take your time with this.
kelly25_0094|WHAT INTERESTS YOU MOST ABOUT THIS TOPIC? THIS IS GOING TO BE SO MUCH FUN!|What interests you most about this topic? This is going to be so much fun!
kelly25_0095|WHAT INTERESTS YOU MOST ABOUT THIS TOPIC? I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|What interests you most about this topic? I'm here to help you every step of the way.
kelly25_0096|WHAT INTERESTS YOU MOST ABOUT THIS TOPIC? YOU'RE DOING AN AMAZING JOB!|What interests you most about this topic? You're doing an amazing job!
kelly25_0097|LET ME EXPLAIN THIS CONCEPT IN A SIMPLE WAY.|Let me explain this concept in a simple way.
kelly25_0098|LET ME EXPLAIN THIS CONCEPT IN A SIMPLE WAY. I'M REALLY EXCITED ABOUT THIS!|Let me explain this concept in a simple way. I'm really excited about this!
kelly25_0099|LET ME EXPLAIN THIS CONCEPT IN A SIMPLE WAY. TAKE YOUR TIME WITH THIS.|Let me explain this concept in a simple way. Take your time with this.
kelly25_0100|LET ME EXPLAIN THIS CONCEPT IN A SIMPLE WAY. THIS IS GOING TO BE SO MUCH FUN!|Let me explain this concept in a simple way. This is going to be so much fun!
kelly25_0101|LET ME EXPLAIN THIS CONCEPT IN A SIMPLE WAY. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|Let me explain this concept in a simple way. I'm here to help you every step of the way.
kelly25_0102|LET ME EXPLAIN THIS CONCEPT IN A SIMPLE WAY. YOU'RE DOING AN AMAZING JOB!|Let me explain this concept in a simple way. You're doing an amazing job!
kelly25_0103|THINK OF IT LIKE THIS: IMAGINE YOU'RE BUILDING WITH BLOCKS.|Think of it like this: imagine you're building with blocks.
kelly25_0104|THINK OF IT LIKE THIS: IMAGINE YOU'RE BUILDING WITH BLOCKS. I'M REALLY EXCITED ABOUT THIS!|Think of it like this: imagine you're building with blocks. I'm really excited about this!
kelly25_0105|THINK OF IT LIKE THIS: IMAGINE YOU'RE BUILDING WITH BLOCKS. TAKE YOUR TIME WITH THIS.|Think of it like this: imagine you're building with blocks. Take your time with this.
kelly25_0106|THINK OF IT LIKE THIS: IMAGINE YOU'RE BUILDING WITH BLOCKS. THIS IS GOING TO BE SO MUCH FUN!|Think of it like this: imagine you're building with blocks. This is going to be so much fun!
kelly25_0107|THINK OF IT LIKE THIS: IMAGINE YOU'RE BUILDING WITH BLOCKS. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|Think of it like this: imagine you're building with blocks. I'm here to help you every step of the way.
kelly25_0108|THINK OF IT LIKE THIS: IMAGINE YOU'RE BUILDING WITH BLOCKS. YOU'RE DOING AN AMAZING JOB!|Think of it like this: imagine you're building with blocks. You're doing an amazing job!
kelly25_0109|THE KEY TO UNDERSTANDING IS BREAKING THINGS INTO SMALLER PARTS.|The key to understanding is breaking things into smaller parts.
kelly25_0110|THE KEY TO UNDERSTANDING IS BREAKING THINGS INTO SMALLER PARTS. I'M REALLY EXCITED ABOUT THIS!|The key to understanding is breaking things into smaller parts. I'm really excited about this!
kelly25_0111|THE KEY TO UNDERSTANDING IS BREAKING THINGS INTO SMALLER PARTS. TAKE YOUR TIME WITH THIS.|The key to understanding is breaking things into smaller parts. Take your time with this.
kelly25_0112|THE KEY TO UNDERSTANDING IS BREAKING THINGS INTO SMALLER PARTS. THIS IS GOING TO BE SO MUCH FUN!|The key to understanding is breaking things into smaller parts. This is going to be so much fun!
kelly25_0113|THE KEY TO UNDERSTANDING IS BREAKING THINGS INTO SMALLER PARTS. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|The key to understanding is breaking things into smaller parts. I'm here to help you every step of the way.
kelly25_0114|THE KEY TO UNDERSTANDING IS BREAKING THINGS INTO SMALLER PARTS. YOU'RE DOING AN AMAZING JOB!|The key to understanding is breaking things into smaller parts. You're doing an amazing job!
kelly25_0115|ONCE YOU SEE THE PATTERN, EVERYTHING BECOMES CLEARER.|Once you see the pattern, everything becomes clearer.
kelly25_0116|ONCE YOU SEE THE PATTERN, EVERYTHING BECOMES CLEARER. I'M REALLY EXCITED ABOUT THIS!|Once you see the pattern, everything becomes clearer. I'm really excited about this!
kelly25_0117|ONCE YOU SEE THE PATTERN, EVERYTHING BECOMES CLEARER. TAKE YOUR TIME WITH THIS.|Once you see the pattern, everything becomes clearer. Take your time with this.
kelly25_0118|ONCE YOU SEE THE PATTERN, EVERYTHING BECOMES CLEARER. THIS IS GOING TO BE SO MUCH FUN!|Once you see the pattern, everything becomes clearer. This is going to be so much fun!
kelly25_0119|ONCE YOU SEE THE PATTERN, EVERYTHING BECOMES CLEARER. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|Once you see the pattern, everything becomes clearer. I'm here to help you every step of the way.
kelly25_0120|ONCE YOU SEE THE PATTERN, EVERYTHING BECOMES CLEARER. YOU'RE DOING AN AMAZING JOB!|Once you see the pattern, everything becomes clearer. You're doing an amazing job!
kelly25_0121|WOW! THAT'S AN AMAZING DISCOVERY YOU JUST MADE!|Wow! That's an amazing discovery you just made!
kelly25_0122|WOW! THAT'S AN AMAZING DISCOVERY YOU JUST MADE! I'M REALLY EXCITED ABOUT THIS!|Wow! That's an amazing discovery you just made! I'm really excited about this!
kelly25_0123|WOW! THAT'S AN AMAZING DISCOVERY YOU JUST MADE! TAKE YOUR TIME WITH THIS.|Wow! That's an amazing discovery you just made! Take your time with this.
kelly25_0124|WOW! THAT'S AN AMAZING DISCOVERY YOU JUST MADE! THIS IS GOING TO BE SO MUCH FUN!|Wow! That's an amazing discovery you just made! This is going to be so much fun!
kelly25_0125|WOW! THAT'S AN AMAZING DISCOVERY YOU JUST MADE! I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|Wow! That's an amazing discovery you just made! I'm here to help you every step of the way.
kelly25_0126|WOW! THAT'S AN AMAZING DISCOVERY YOU JUST MADE! YOU'RE DOING AN AMAZING JOB!|Wow! That's an amazing discovery you just made! You're doing an amazing job!
kelly25_0127|I'M SO EXCITED TO SEE WHAT YOU'LL LEARN NEXT!|I'm so excited to see what you'll learn next!
kelly25_0128|I'M SO EXCITED TO SEE WHAT YOU'LL LEARN NEXT! I'M REALLY EXCITED ABOUT THIS!|I'm so excited to see what you'll learn next! I'm really excited about this!
kelly25_0129|I'M SO EXCITED TO SEE WHAT YOU'LL LEARN NEXT! TAKE YOUR TIME WITH THIS.|I'm so excited to see what you'll learn next! Take your time with this.
kelly25_0130|I'M SO EXCITED TO SEE WHAT YOU'LL LEARN NEXT! THIS IS GOING TO BE SO MUCH FUN!|I'm so excited to see what you'll learn next! This is going to be so much fun!
kelly25_0131|I'M SO EXCITED TO SEE WHAT YOU'LL LEARN NEXT! I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|I'm so excited to see what you'll learn next! I'm here to help you every step of the way.
kelly25_0132|I'M SO EXCITED TO SEE WHAT YOU'LL LEARN NEXT! YOU'RE DOING AN AMAZING JOB!|I'm so excited to see what you'll learn next! You're doing an amazing job!
kelly25_0133|THIS IS GOING TO BE SO MUCH FUN TO EXPLORE TOGETHER!|This is going to be so much fun to explore together!
kelly25_0134|THIS IS GOING TO BE SO MUCH FUN TO EXPLORE TOGETHER! I'M REALLY EXCITED ABOUT THIS!|This is going to be so much fun to explore together! I'm really excited about this!
kelly25_0135|THIS IS GOING TO BE SO MUCH FUN TO EXPLORE TOGETHER! TAKE YOUR TIME WITH THIS.|This is going to be so much fun to explore together! Take your time with this.
kelly25_0136|THIS IS GOING TO BE SO MUCH FUN TO EXPLORE TOGETHER! THIS IS GOING TO BE SO MUCH FUN!|This is going to be so much fun to explore together! This is going to be so much fun!
kelly25_0137|THIS IS GOING TO BE SO MUCH FUN TO EXPLORE TOGETHER! I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|This is going to be so much fun to explore together! I'm here to help you every step of the way.
kelly25_0138|THIS IS GOING TO BE SO MUCH FUN TO EXPLORE TOGETHER! YOU'RE DOING AN AMAZING JOB!|This is going to be so much fun to explore together! You're doing an amazing job!
kelly25_0139|YOU'RE ABSOLUTELY BRILLIANT! I LOVE YOUR THINKING!|You're absolutely brilliant! I love your thinking!
kelly25_0140|YOU'RE ABSOLUTELY BRILLIANT! I LOVE YOUR THINKING! I'M REALLY EXCITED ABOUT THIS!|You're absolutely brilliant! I love your thinking! I'm really excited about this!
kelly25_0141|YOU'RE ABSOLUTELY BRILLIANT! I LOVE YOUR THINKING! TAKE YOUR TIME WITH THIS.|You're absolutely brilliant! I love your thinking! Take your time with this.
kelly25_0142|YOU'RE ABSOLUTELY BRILLIANT! I LOVE YOUR THINKING! THIS IS GOING TO BE SO MUCH FUN!|You're absolutely brilliant! I love your thinking! This is going to be so much fun!
kelly25_0143|YOU'RE ABSOLUTELY BRILLIANT! I LOVE YOUR THINKING! I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|You're absolutely brilliant! I love your thinking! I'm here to help you every step of the way.
kelly25_0144|YOU'RE ABSOLUTELY BRILLIANT! I LOVE YOUR THINKING! YOU'RE DOING AN AMAZING JOB!|You're absolutely brilliant! I love your thinking! You're doing an amazing job!
kelly25_0145|TAKE YOUR TIME, THERE'S NO RUSH IN LEARNING.|Take your time, there's no rush in learning.
kelly25_0146|TAKE YOUR TIME, THERE'S NO RUSH IN LEARNING. I'M REALLY EXCITED ABOUT THIS!|Take your time, there's no rush in learning. I'm really excited about this!
kelly25_0147|TAKE YOUR TIME, THERE'S NO RUSH IN LEARNING. TAKE YOUR TIME WITH THIS.|Take your time, there's no rush in learning. Take your time with this.
kelly25_0148|TAKE YOUR TIME, THERE'S NO RUSH IN LEARNING. THIS IS GOING TO BE SO MUCH FUN!|Take your time, there's no rush in learning. This is going to be so much fun!
kelly25_0149|TAKE YOUR TIME, THERE'S NO RUSH IN LEARNING. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|Take your time, there's no rush in learning. I'm here to help you every step of the way.
kelly25_0150|TAKE YOUR TIME, THERE'S NO RUSH IN LEARNING. YOU'RE DOING AN AMAZING JOB!|Take your time, there's no rush in learning. You're doing an amazing job!
kelly25_0151|BREATHE DEEPLY AND LET'S APPROACH THIS STEP BY STEP.|Breathe deeply and let's approach this step by step.
kelly25_0152|BREATHE DEEPLY AND LET'S APPROACH THIS STEP BY STEP. I'M REALLY EXCITED ABOUT THIS!|Breathe deeply and let's approach this step by step. I'm really excited about this!
kelly25_0153|BREATHE DEEPLY AND LET'S APPROACH THIS STEP BY STEP. TAKE YOUR TIME WITH THIS.|Breathe deeply and let's approach this step by step. Take your time with this.
kelly25_0154|BREATHE DEEPLY AND LET'S APPROACH THIS STEP BY STEP. THIS IS GOING TO BE SO MUCH FUN!|Breathe deeply and let's approach this step by step. This is going to be so much fun!
kelly25_0155|BREATHE DEEPLY AND LET'S APPROACH THIS STEP BY STEP. I'M HERE TO HELP YOU EVERY STEP OF THE WAY.|Breathe deeply and let's approach this step by step. I'm here to help you every step of the way.
kelly25_0156|BREATHE DEEPLY AND LET'S APPROACH THIS STEP BY STEP. YOU'RE DOING AN AMAZING JOB!|Breathe deeply and let's approach this step by step. You're doing an amazing job!
kelly25_0157|IT'S OKAY TO FEEL CONFUSED SOMETIMES, THAT'S PART OF LEARNING.|It's okay to feel confused sometimes, that's part of learning.
kelly25_0158|IT'S OKAY TO FEEL CONFUSED SOMETIMES, THAT'S PART OF LEARNING. I'M REALLY EXCITED ABOUT THIS!|It's okay to feel confused sometimes, that's part of learning. I'm really excited about this!
kelly25_0159|IT'S OKAY TO FEEL CONFUSED SOMETIMES, THAT'S PART OF LEARNING. TAKE YOUR TIME WITH THIS.|It's okay to feel confused sometimes, that's part of learning. Take your time with this.
